ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
27529,Viktor Leonidovich Demyanenko,M,21,167,60,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Silver
27687,Viktor Sergeyevich Deputatov,M,19,182,82,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,Bronze
27717,Nik'oloz Deriugini,M,21,206,105,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,Bronze
27894,Szabolcs Detre,M,33,180,88,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
27895,Zsolt Detre,M,33,178,86,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
28449,Ines Diers (-Noack),F,16,175,64,East Germany,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 100 metres Freestyle,Bronze
28449,Ines Diers (-Noack),F,16,175,64,East Germany,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Freestyle,Silver
28449,Ines Diers (-Noack),F,16,175,64,East Germany,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 400 metres Freestyle,Gold
28449,Ines Diers (-Noack),F,16,175,64,East Germany,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 800 metres Freestyle,Silver
28449,Ines Diers (-Noack),F,16,175,64,East Germany,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
28458,Ullrich Diener,M,25,189,83,East Germany,GER,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Fours,Gold
28459,Walter Diener,M,25,188,84,East Germany,GER,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Fours,Gold
28790,Aleksandr Nikolayevich Dityatin,M,22,178,70,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Individual All-Around,Gold
28790,Aleksandr Nikolayevich Dityatin,M,22,178,70,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Team All-Around,Gold
28790,Aleksandr Nikolayevich Dityatin,M,22,178,70,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
28790,Aleksandr Nikolayevich Dityatin,M,22,178,70,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Horse Vault,Silver
28790,Aleksandr Nikolayevich Dityatin,M,22,178,70,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Parallel Bars,Silver
28790,Aleksandr Nikolayevich Dityatin,M,22,178,70,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
28790,Aleksandr Nikolayevich Dityatin,M,22,178,70,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Rings,Gold
28790,Aleksandr Nikolayevich Dityatin,M,22,178,70,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
28916,Hryhoriy Mykolaiovych Dmytrenko,M,35,152,52,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Eights,Bronze
28962,Jens Doberschtz,M,22,190,81,East Germany,GER,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Eights,Gold
29079,Lothar Doering,M,29,187,88,East Germany,GER,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,Gold
29115,Gottfried Dhn,M,29,196,96,East Germany,GER,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxed Fours,Gold
29182,Volodymyr Henrikhovych Dolhov,M,20,190,77,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Backstroke,Bronze
29184,Valery Alekseyevich Dolinin,M,26,191,87,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Coxless Fours,Silver
29214,"Svetlana Ivanovna ""Esfir"" Dolzhenko-Krachevskaya",F,35,173,83,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's Shot Put,Silver
29233,Lutz Dombrowski,M,21,187,87,East Germany,GER,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Long Jump,Gold
29330,Ferenc Donth,M,26,165,58,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Gymnastics,Gymnastics Men's Team All-Around,Bronze
29538,Vladimir Vyacheslavovich Dorokhov,M,26,194,94,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,Gold
29760,Mykola Anatoliyovych Dovhan,M,25,178,80,Soviet Union,RUS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Quadruple Sculls,Silver
29969,Gnter Dreibrodt,M,28,196,92,East Germany,GER,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,Gold
29970,Joachim Dreifke,M,27,192,95,East Germany,GER,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Men's Double Sculls,Gold
